id,predicted,actual
14606,43.239809052757224,20
16085,31.135217991172993,20
21625,36.36277853974816,9
19204,366.8643195110054,35
6276,109.10089465442803,53
17519,14.926852373762657,12
17750,125.1659437409505,350
16046,17.34436075272351,31
1993,43.27979808235515,15
3018,62.41814850306879,12
2487,20.860889622038396,69
9069,45.94206857626439,24
8109,30.33160738642255,25
12144,40.165600883627114,22
1244,22.91136818574112,27
1085,25.314124104445337,15
14430,36.9317567395573,15
8870,17.50452552544464,12
14151,42.9325136154869,30
1416,47.37092369497051,15
11527,49.113918163653096,8
21218,31.861629819916452,15
7828,4.664675363477677,28
7787,343.42375191231076,300
3536,70.07765056635803,15
13435,40.29075454528967,25
12271,41.93558187034247,20
14174,19.020435075961707,20
12966,36.9576088991999,17
3512,36.31974344773941,30
20055,79.59839029450944,140
8508,24.48126688314884,20
8399,41.30725219593398,23
17623,71.60190578839843,17
21862,62.948112190318305,22
18753,41.91907859461355,95
10142,36.807291729855876,10
12676,58.37110588510258,10
9158,95.32207005372288,17
2316,72.3543706796182,75
16483,23.075809991561584,29
11305,91.37286253005345,30
18155,44.21835885004171,18
2891,64.31818123234534,18
2475,34.1486178317635,25
19747,27.326670111412064,45
3079,27.323257118640928,45
18287,83.11817071153264,39
19633,53.37247045376432,10
22176,30.13688895897057,6
19405,36.75439986895342,15
2811,40.49929531066222,30
10853,12.503335460586392,25
8189,106.82569899134946,59
5184,39.438666028645,40
21560,39.2889462570479,70
7664,24.797293847593792,69
10087,51.40114740601355,49
10662,26.626927748312504,10
20047,18.249202647028994,600
22027,26.346140688178075,40
4297,21.660514740211227,13
14529,49.24622889352689,8
14362,70.55997425289881,8
18806,23.12893736107945,28
16427,103.7388382779881,80
7870,45.28293823974434,51
21789,32.76658853660825,12
20623,19.799271911318293,20
16184,30.463121444253478,35
13390,44.30064919082894,4
22308,206.918629893319,35
19615,44.26644429830798,21
8582,32.213041354455214,75
12154,51.170195754692436,20
6738,35.58840323554795,15
21769,25.38097148109284,25
16255,19.509722118233164,18
20928,53.22120158761393,200
729,48.67891907258667,28
6068,19.280057087093184,9
4685,33.49185600397003,7
6628,29.756287660757497,59
306,52.291231665859364,68
1602,18.878716459163876,16
16726,102.38539724224903,470
8145,6.216051495062516,12
9217,28.898126504974584,10
638,17.30460249496216,40
12657,39.718340767136155,14
20809,55.234882001001814,60
6803,39.41781888127035,16
8765,57.96317529217481,50
9228,18.90113088048239,20
907,29.26054639862121,10
11337,51.48399459820432,25
20124,47.626149462350526,75
9829,33.32830338825856,65
15278,42.4378930512485,39
13664,28.929981943545286,14
2793,62.084043599084545,5
16779,26.245846274844535,18
6348,28.838066925339326,100
14810,13.054761741572875,28
18245,270.1500581965963,13
14747,23.998362616044854,10
13252,25.01524690638077,18
16585,36.23344782919784,8
14247,35.138443760579136,15
10936,16.391104332099587,8
5899,42.16468163885399,70
